render_frame,surface_index,source_frame_id,source_time,source_iteration,source_path,source_sha256,output_path
10,10,visual_0010,0.0499999999999,269,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0010.facets,425a122c5040014604109356a11d241619b3c0f898f52e8b2798d7ec70bb1ee6,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0010.png
11,11,visual_0011,0.0549999999998,294,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0011.facets,5e0b904c26718c183d05b1f03b9ea28f8f16545db9fe85371358aea72cc15fad,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0011.png
12,12,visual_0012,0.0599999999998,319,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0012.facets,67070cc31cb48553dd50fac1b765a4d7022ab2e19ce6d2eb248951488be56303,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0012.png
13,13,visual_0013,0.065,355,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0013.facets,20a9e5bcdbb8211b83bd52805357b896a58ef1720663fdada22b28b1a91b0021,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0013.png
14,14,visual_0014,0.07,381,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0014.facets,a71b3f7fd1890ef0f86796416c11b63f3bab9e2d29754103f66075ed11245a09,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0014.png
15,15,visual_0015,0.075,407,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0015.facets,b31a9133b2dc7f5fa840e25d8ce7c59d73527c353e757d2d7dcb94e5b4175753,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0015.png
16,16,visual_0016,0.08,433,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0016.facets,5e7604e7f441ca0ecb10afff03aa7317303f15b472495438789245519c00b59c,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0016.png
17,17,visual_0017,0.085,459,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0017.facets,adc62dc34b617e1819d8c38ac5d767f8825753ce225f8ea7edbec4153f342b87,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0017.png
18,18,visual_0018,0.09,485,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0018.facets,55c6ff767e12523f565a53f1f5730cd44f4bdc387b298f8a718d18436d5bd7c5,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0018.png
19,19,visual_0019,0.095,511,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0019.facets,b2f6933236ff1f126100cb75a45c8124bb2b85883e5a6fd3e972a99b56bdcdac,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0019.png
